Word,Count
I,17469
Game,10891
Get,3228
It,3121
The,2641
Like,2547
Time,2511
This,2439
Play,2246
Ads,2081
Level,1959
Can't,1560
Even,1518
Would,1443
I'm,1366
Really,1299
Back,1295
Please,1243
Still,1235
Every,1229
Also,1189
I've,1157
It's,1137
Make,1077
Fun,1068
Fix,1062
Money,1051
Update,1040
Playing,1028
Want,1015
Love,1002
Annoying,978
You,965
App,943
New,939
Phone,924
5,899
Give,871
Hate,854
And,853
But,832
Much,816
Bad,812
So,794
Not,788
Hard,787
Now,775
Stars,773
If,765
Way,757
3,754
Never,751
Many,726
Lost,723
,717
2,706
Need,697
Got,693
Pay,691
Levels,686
People,684
Games,680
Good,671
Option,662
Go,661
See,646
Could,643
Work,642
Used,637
U,629
Well,623
Lot,619
Add,613
Keep,599
Ad,595
Times,594
Getting,594
Since,592
When,589
Know,578
Very,577
Problem,573
Screen,558
Always,557
There,550
Google,536
Change,536
Turn,536
1,518
Start,510
Ever,501
Again,494
Coins,493
Without,482
Waste,480
Try,469
A,469
Stupid,465
Useless,462
Using,461
To,459
Version,459
Takes,455
Pass,453
Something,450
All,449
Trying,449
Nothing,447
Star,445
Next,440
Already,435
Long,432
Open,431
Great,429
Frustrating,428
Played,427
Account,425
No,420
Though,419
My,418
Going,416
Freezes,413
Put,413
Tried,410
Anymore,410
Another,405
Last,401
Gets,401
Years,398
In,397
They,395
Worst,389
Buy,389
Sometimes,386
Let,385
Move,381
That's,381
Is,379
Think,378
Everything,376
Made,375
Match,366
Makes,362
Too,361
Almost,359
One,357
Due,355
Anything,350
Boring,348
Days,346
Disappointed,346
Card,346
Difficult,339
Do,338
Different,335
First,334
However,333
Done,329
Took,329
Win,328
Cant,328
Thing,327
Stop,327
Players,326
Better,323
Issue,323
Boosters,319
Don't,316
Help,315
Take,315
Day,314
Keeps,314
Wrong,313
Paid,312
Me,311
Slow,309
Terrible,309
Why,309
Find,307
Dont,305
Load,303
Just,303
Say,301
Right,299
Uninstall,297
Its,296
Watch,293
Addictive,293
Support,293
On,292
Constantly,291
Crashes,289
Started,288
Little,288
Things,285
Review,281
Birds,281
Old,279
Simple,278
Happens,277
Horrible,277
Half,276
That,275
Instead,273
Spent,272
Access,272
Cannot,271
Either,268
&,267
Says,267
Least,266
Everyone,264
Pool,263
Actually,263
-,262
4,261
News,260
Minutes,260
Working,259
Seconds,258
Spend,257
Purchase,256
Happened,256
What,255
Bit,255
Full,255
I'll,255
Show,254
Needs,254
Soon,253
Less,253
Several,252
Reason,252
Problems,251
Continue,251
Past,251
Sorry,249
Sucks,249
Up,249
Issues,248
Two,247
N,245
Free,245
Angry,244
Remove,244
Photos,243
After,243
Fish,242
Online,242
Amount,242
Wish,242
Updates,240
Worse,240
Longer,239
Ridiculous,239
Button,238
Enough,238
For,236
Completely,235
Choose,235
Months,234
Data,233
Only,232
Power,232
Lose,230
Automatically,230
10,230
Enjoy,229
Cards,229
Changed,229
Super,228
Im,227
May,227
Log,224
Extra,224
Awful,224
Second,223
Delete,221
8,221
Away,221
Hours,220
Single,220
Rate,218
Progress,217
Bank,217
Making,216
Video,216
Addicted,215
Come,214
