Word,Count
I,2499
It,533
Like,394
The,383
Work,352
Play,315
Get,313
Can't,290
Please,286
This,281
Time,266
Ads,256
Fix,244
Game,242
Account,228
Back,224
App,207
See,184
If,182
Every,174
Need,173
Even,172
Update,172
Still,154
Phone,153
My,150
Never,150
Now,147
Want,146
Money,144
Send,141
I'm,139
Not,139
You,138
Would,138
Tried,134
No,133
Log,130
Option,130
Let,129
2,128
Wheel,127
Problem,127
Give,125
Getting,124
Last,117
Could,116
There,115
Open,112
They,108
Doesn't,106
Nothing,106
So,106
Button,103
Days,102
Add,101
When,100
Keeps,98
Cant,98
Keep,97
To,97
Playing,96
Stay,96
Show,96
Try,95
It's,95
Wish,95
Well,94
And,94
A,94
Trying,93
Can,93
Know,91
Also,91
Email,90
Is,89
,88
Password,88
Yes,86
Since,86
Rid,86
In,86
Go,85
Google,84
Working,84
Times,84
Shows,84
Already,84
Using,83
U,82
Purchase,81
Watch,81
Facebook,78
Levels,78
How,77
Install,77
Make,76
Something,76
5,76
Updated,75
Dont,75
Thank,75
Works,74
But,73
Samsung,72
Their,72
Lot,72
Online,72
Three,71
Information,71
Screen,70
Needs,70
Star,70
Access,69
All,69
Number,68
Another,68
Pay,68
Ad,68
Years,68
Great,67
Save,67
People,67
Going,66
Why,65
Always,65
Says,65
Yet,64
Stars,64
Of,64
Life,63
Cannot,63
Charge,62
Use,62
Bring,62
Uninstall,62
Us,60
Guys,60
Groupon,60
Buy,60
Card,60
Sign,60
Take,60
Change,59
Everything,59
Call,58
Weeks,58
Delete,58
Bonus,58
Ago,58
Emails,58
Started,57
Either,57
Just,57
After,57
Text,57
Think,56
Anything,56
Scratching,56
Notifications,56
One,56
Allow,56
Happens,55
Loading,55
Level,55
App!,55
Put,55
Mobile,55
Tap,54
Error,54
For,54
Exist,53
What,53
Issue,53
Saying,53
Video,53
Support,53
Version,52
Lives,52
Choose,52
Anyway,52
Kill,51
Help,51
Only,51
Business,51
Offline,50
Android,50
Used,49
Cause,48
Boarding,48
Family,47
Games,47
Read,47
Have,47
Watching,47
Force,46
Two,46
Favourite,46
Crashes,46
Crashing,46
Day,45
Without,45
Downloaded,45
Again,45
4,45
Scam,45
100,45
Store,45
Way,45
Check,44
Create,44
Gone,44
Arabic,44
Love,44
Find,44
Longer,44
Data,44
Requests,43
Different,43
Load,43
Several,43
Skills,43
Landed,42
Messages,42
Ago!),42
Turkish?,42
Hindi,42
Block,42
Yrs,42
(over,42
Began,42
Brief,42
Prize,42
Assist!!,42
Though,42
Store!,42
Ever,42
Stoppage,42
Entirely!,42
Luck,42
Spin,42
Jackpot,42
Issues,41
Tell,41
Type,41
Else,41
Your,41
At,41
Company,41
Pass,40
Went,40
List,40
Be,40
Updates,40
Me,39
Cheating,39
Stopped,39
I've,39
Message,38
Does,38
Don't,38
Lose,38
Come,38
Then,38
Up,38
Million,38
Found,38
Place,38
Sometimes,37
Book,37
Too,37
Better,37
Fight,37
Receive,36
Refund,36
Based,36
Made,36
Indian's,36
Thing,36
Picture,36
Helps,36
Uninstalled,35
Search,35
Got,35
Cheat!,35
Opponents,35
Took,35
Info,35
Permantly,35
Indians,35
Recent,35
Review,34
Shot,34
Logged,34
Installed,34
Hit,34
With,34
Home,34
Rubbish,33
Price,33
Bought,33
3,33
"""",32
Stop,32
Balance,32
Gold,32
Able,32
Saved,32
Its,32
Progress,32
Decide,32
Opened,32
Heaven,32
Uses,31
Flight,31
Ut,31
Who,31
Sharing,31
Fun,31
Target,31
-,31
Should,31
Contact,31
Looking,31
Agree,30
"You""",30
Anyone,30
Multiple,30
Gamer,30
Hundreds,30
Multiplied,30
Given,30
Relaxing,30
Responds,30
Week,30
Didnt,30
Often,30
Start,30
Prepared,30
Advertising,30
Once,30
Blood,30
Never-ending,30
Bores,30
Pop,29
Ie,29
Location,29
View,29
Out,29
Bars,29
Feature,29
Note,29
Sd,29
Won't,29
Do,29
Login,29
Anymore,28
Problems,28
Glitches,28
Thought,28
Purposely,28
10,28
Daily,28
Website,28
Food,28
Mini,28
Clip,28
Poorly,28
Break,28
Deleted,28
Others,28
Bitch,28
Changed,28
Freezes,27
Stuck,27
On,27
Makes,27
Cable,27
Set,27
Helpful,27
Look,27
Kingdom,27
Next,27
Big,27
Actually,26
Hoping,26
Clicked,26
Missed,26
Connect,26
Owsm,26
Rate,26
Reset,26
Browser,26
Upload,26
Point,26
Didn't,26
Fake,26
Opening,25
Repeat,25
Glitching,25
Pdf,25
Profile,25
Tv,25
Fighting,25
Wont,25
Lots,25
Things,25
Losing,25
Later,24
Stop!,24
There's,24
Contacts,24
Site,24
Goes,24
Takes,24
Away,24
Forgot,24
Stores,24
Despite,24
Leave,24
Some,24
Erases,24
Taking,24
Chargers,24
Buttons,24
Win,24
Properly,24
Please!,24
Happening,23
Icon,23
That's,23
Added,23
Purchased,23
Crash,23
&,23
Seems,23
Instead,23
Pixel,23
May,23
Enough,22
Desktop,22
Track,22
Via,22
Couple,22
Worked,22
Immediately,22
Accounts,22
Soon,22
Off,22
Advertised,22
Options,22
Wait,22
Convenient,22
Player,21
Giving,21
Photos,21
Seem,21
Payment,21
Customer,21
Experience,21
Manage,21
Seen,21
Seconds,21
Bank,21
God,21
Difficult,21
Changes,21
Page,21
Bug,21
Wrong,21
Box,20
Fb,20
Was,20
Earn,20
Spinning,20
Them,20
1,20
Die,20
Turn,20
Computer,20
Bugs,20
Friends,20
Device,20
N,20
Said,20
S8,20
Calling,20
Order,20
Hours,20
Many,19
Has,19
Plan,19
Tickets,19
That,19
Wanted,19
Subscription,19
Garbage,19
Current,19
Been,19
Credit,19
Remaining,19
Lost,19
Piece,19
Code,19
Annoying,19
Much,19
Continue,19
Continuously,19
Starting,18
Updating,18
Task,18
Ones,18
Music,18
Name,18
Simple,18
Devices,18
Profiles,18
News,18
Caused,18
Unavailable,18
Declined,18
Apps,18
Ok,18
Maybe,18
Minutes,18
Bs,18
Product,18
Downloading,17
Case,17
Space,17
Must,17
What's,17
Function,17
Am,17
Waiting,17
Man,17
Pictures,17
I'll,17
Disappeared,17
Gets,17
Told,17
Remove,17
Addicting,17
This!,17
Here,17
Constantly,17
Details,17
Purpose,17
Months,17
Short,17
Unusable,17
Where,16
4th,16
Drawer,16
Will,16
Specific,16
Learn,16
Hear,16
Fr,16
Team,16
Five,16
Lets,16
Lol,16
Amazon,16
Although,16
Gate,16
Spam,16
Internet,16
Iti,16
Couldn't,16
Battery,16
Tips,16
System,16
Quite,16
Enjoy,15
Connecting!,15
Nyc,15
Basic,15
Almost,15
Report,15
Cloud,15
Steps,15
Over,15
Warp,15
Unnecessary,15
Abominations,15
Boosters!,15
Press,15
Helped,15
Use?,15
Documents,15
Language,15
Local,15
Doesnt,15
Purchases,15
Cards,15
Everyone,15
Progressing,15
Locks,15
326,15
Logs,15
Minute,15
Deal,15
These,15
Username,15
Settings,15
Share,15
Continues,15
Passes,15
Stars!,15
Calls,15
Map,15
Date,14
Accidently,14
Airlines,14
Pack,14
Left,14
Stuff,14
Approved,14
Leaving,14
Created,14
Person,14
Uninstalling,14
Reinstalled,14
Understand,14
Instructions,14
Cases,14
Making,14
Move,14
Bit,14
Done,14
